tamano,sector,ActividadEconomica,SENA,Temporal,BolsaEmpleo,Periodico,RecomendacioAmigos,RecomendacionTra,Otro,Nivel_contratados,TotalProfesionales,TotalTecTecnolo
MEDIANA,COMERCIO,DISTRIBUCION DE PRODUCTOS A,6,5,,,,,,Universitarios,6,1
MEDIANA,COMERCIO,COMERCIO,1,7,,,,,,Tecnicos o Tecnologos,1,1
MEDIANA,COMERCIO,VENTA Y DISTRIBUCION AERONAUTI,2,3,,,,,,Universitarios,1,0
MEDIANA,COMERCIO,COMERCIO,2,,,,,,,Universitarios,8,2
MEDIANA,COMERCIO,IMPORTACION PROD FLEXOGRAFIA,5,6,,,,,,Universitarios,4,1
MEDIANA,COMERCIO,VENTA DE PRODUCTOS NATURALES,5,6,,,,,,Tecnicos o Tecnologos,4,4
MEDIANA,COMERCIO,VENTA Y COMPRA DE MATERIAL ELE,5,6,,,,,,Tecnicos o Tecnologos,3,20
MEDIANA,COMERCIO,COMERCIALIZACION DE UPS,5,6,1,4,,,,Tecnicos o Tecnologos,3,5
MEDIANA,COMERCIO,COMERCIALIZACION DE MATERIAS P,3,,,,,,,Universitarios,15,5
MEDIANA,COMERCIO,VENTA EDITORIAL,3,5,4,,,,,Tecnicos o Tecnologos,0,4
MEDIANA,INDUSTRIA,INDUSTRIAL PLASTICO,5,6,,,,,,Tecnicos o Tecnologos,8,12
MEDIANA,INDUSTRIA,INDUSTRIA,6,,,,,,,Tecnicos o Tecnologos,3,3
MEDIANA,INDUSTRIA,PRODUCCION DE CONCRETO,1,5,6,,,,,Universitarios,2,1
MEDIANA,INDUSTRIA,FABRICACION MAQUINARIA ESPECIA,5,6,,,,,,Tecnicos o Tecnologos,15,30
MEDIANA,INDUSTRIA,FABRICACION DE MUEBLES,1,2,3,4,5,6,,Universitarios,5,2
MEDIANA,INDUSTRIA,VENTA DE LIBROS,7,,,,,,,Tecnicos o Tecnologos,0,33
MEDIANA,INDUSTRIA,COMERCIO,4,2,,,,,,Universitarios,5,5
MEDIANA,INDUSTRIA,PRODUCCION MATERIAS PRIMAS,6,,,,,,,Universitarios,2,0
MEDIANA,INDUSTRIA,ARTE GRAFICO,1,5,6,2,,,,Universitarios,4,3
MEDIANA,INDUSTRIA,CONFECCION DE PRENDAS,4,,,,,,,Tecnicos o Tecnologos,2,3
MEDIANA,INDUSTRIA,PRODUCCION DE HILO,4,,,,,,,Tecnicos o Tecnologos,0,1
MEDIANA,INDUSTRIA,INYECCION Y SOPLADO DE PLASTIC,1,4,5,6,,,,Tecnicos o Tecnologos,2,4
MEDIANA,INDUSTRIA,MANUFACTURA PLASTICA,1,5,6,,,,,Tecnicos o Tecnologos,0,1
MEDIANA,INDUSTRIA,COMERCIO,1,,,,,,,Tecnicos o Tecnologos,5,10
MEDIANA,INDUSTRIA,PRODUCCCION DE JUGUETES CANINO,6,,,,,,,Universitarios,8,1
MEDIANA,INDUSTRIA,FABRICACION DE TELAS,6,5,,,,,,Tecnicos o Tecnologos,1,2
MEDIANA,INDUSTRIA,FABRICACION DE SUSTANCIAS QUIM,2,,,,,,,Universitarios,4,3
MEDIANA,INDUSTRIA,VENTA DE ALIMENTOS,7,,,,,,,Tecnicos o Tecnologos,0,3
MEDIANA,INDUSTRIA,METALMECANICA,2,,,,,,,Tecnicos o Tecnologos,3,4
MEDIANA,INDUSTRIA,INDUSTR5IAL,2,,,,,,,Universitarios,4,3
MEDIANA,INDUSTRIA,IMPORTACION DE RODAMIENTOS,1,2,4,5,,,,Tecnicos o Tecnologos,3,7
MEDIANA,INDUSTRIA,FABRICACION DE APARATOS DE USO DOMESTICO NCP,2,4,,,,,,Universitarios,3,2
MEDIANA,INDUSTRIA,PRODUCTORA ALIMENTOS PERROS,2,5,6,,,,,Universitarios,3,2
